id,brand,model,year,fuel,kms,price,transmission
633d4a6b407bd0e72e0a4d12,Audi,A4,2006,d,240000.0,10000.0,
62f74cda4a2925931400ccf9,Audi,A4,2008,p,229611.0,11200.0,
62f5d58a3dfe803a430f3c93,Opel,Corsa,2003,p,86000.0,1400.0,
63240024ac56c1a05c0dc038,VW,Passat,2011,d,175000.0,17499.0,
632b3d9478f5c195d70450e3,Mini,Cooper,2004,p,175000.0,7799.0,
63187bd5ce800820700c2784,VW,Golf,2004,p,143000.0,3599.0,
62d711d6d4c19dba040f50a3,Hyundai,i30,2010,d,160000.0,8300.0,
629e0cb55e0af61d260431e2,Toyota,Corolla,2006,d,160000.0,7499.0,
63062b1cd46f82e02f0b6c63,Ford,Ranger,2005,d,148000.0,16299.0,
62e392337ff1c92f0302a772,Kia,Ceed,2007,d,142000.0,6999.0,
625ffd6c45ca8620930027b2,Fiat,Sedici,2007,d,152000.0,6899.0,
626a18e0c3d48954630b7842,BMW,530,2014,d,211000.0,29999.0,
62dec60fd2eeb418cb0d6393,Toyota,Auris,2009,p,158000.0,9199.0,
62a0ac56a237b0e7160e8565,Volvo,V70,2010,d,185000.0,10999.0,
6324335bc7e9c7bea7060383,Suzuki,Vitara,2002,p,140000.0,8999.0,
62f709f9362033480a025725,Mercedes-Benz,E,2003,d,195000.0,7499.0,
629435c125235589c00df7d7,Toyota,Avensis,2003,p,175000.0,7999.0,
63257638f0ac35f4940978a2,Skoda,Octavia,2004,d,233000.0,3600.0,
6342ce226a4d75cc280bfd45,VW,Golf,2006,d,151499.0,8999.0,
615295432959e85749796423,BMW,X5,2011,d,193000.0,28999.0,
618ab6fd5b73a9105435fd82,Citroen,C5,2009,d,248000.0,8000.0,
632f1aaf83178eca070a3934,Audi,A4,2001,p,257000.0,6800.0,
63106596239a68a8ef0c2325,Suzuki,Grand,1999,d,170000.0,7199.0,
6342b7dce280d2c8d00a44a2,Chevrolet,Spark,2010,p,111653.0,6300.0,
634096921c1c1a64100fe804,Nissan,X-Trail,2007,d,214500.0,6999.0,
6342d045c9ac0bff4c09e5b2,BMW,X3,2005,d,278240.0,12199.0,
633c1b04c86758f059014877,Peugeot,3008,2011,d,197000.0,16699.0,
63273843681b17454900d6b6,Opel,Astra,2011,p,90000.0,12999.0,
62ff5bca749a63f7530a6774,Skoda,Octavia,2006,d,223000.0,6300.0,
62f3cfd2dfab53fde0018812,Audi,A3,2003,d,261700.0,4799.0,
632c745d2b94aa5b930ef832,Peugeot,4007,2009,d,245000.0,12400.0,
631ee18d21178a7dde005ec4,BMW,318,2006,p,96000.0,5000.0,
630b97f89d6cd6282804b8e2,Porsche,Cayenne,2004,p,170000.0,11000.0,
633875b97c6cd807c70e6a23,Mercedes-Benz,E,2003,d,252000.0,8200.0,
63220b15b043431a32083a62,BMW,520,2006,d,370000.0,3500.0,
633fdf3d8cc4f7ec1a098212,Kia,Sorento,2004,d,222222.0,14000.0,
6342cfbce94cf193920d0444,Daewoo,Lanos,1998,p,255000.0,1250.0,
5da41a83abebe273e279b315,Audi,A4,2004,d,171000.0,7800.0,
6342cfa87054908773028054,Opel,Corsa,2004,d,200000.0,1500.0,
62b1fa0233fa1247ee001bd2,Toyota,Avensis,2007,d,265000.0,3800.0,
6342cfb3bc20d475730b2d73,Toyota,Corolla,2006,d,239000.0,5999.0,
6342cf96bb0561f83507cff6,Ford,Fiesta,2014,p,280000.0,8500.0,
6342cfa99f6a9338f609ab72,VW,Bora,2001,d,200000.0,4999.0,
6342cf62d0333fff4f0133c3,Honda,FR-V,2007,d,282000.0,7980.0,
6342cf5773c8e96282084276,Opel,Astra,1999,p,218000.0,2800.0,
62ee66176eb669d6b4030de2,Nissan,Micra,2003,p,119000.0,4130.0,
6342cf16aeffc3c7c2073093,Renault,Clio,2003,d,217358.0,2900.0,
6331abfaf1d678b5f00a5d15,Renault,Clio,2005,d,131300.0,2350.0,
6342ce3f20aa5344170f21c4,Mercedes-Benz,124,2002,d,4005000.0,4300.0,
62a71f6622ae078c3e02c5b2,Ford,Focus,2007,d,219300.0,3700.0,
6342cdf0b14786bf1b04fcf2,BMW,530,2004,d,210000.0,7500.0,
6325ad82938e66de09067cf3,Daihatsu,Terios,2001,p,166163.0,5399.0,
6338326cd52bd9639d0a39e5,Fiat,Panda,2009,p,120600.0,3900.0,
633fb145d8f96ccbe40e2b12,Toyota,Land,2001,d,292347.0,16999.0,
634148af4e303afc1c059bc5,Fiat,Doblo,2016,d,130000.0,12100.0,
6339d4e7dec9ed68c0054392,Citroen,C5,2015,d,163000.0,15555.0,
627a688fcd2eca3f1d08f4a3,Porsche,Cayenne,2008,p,200000.0,28000.0,
6311937a409f46a07d0d1502,VW,Tiguan,2010,d,190000.0,16500.0,
